,titre,1,2,3,4,5
10,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"Elle m’expliqua ce qu’elle appelait ma mission. Le Lapin Volant comportait trois étages. Plus on montait, plus les gens étaient dangereux. Les grinches de la haute pègre se réunissaient au troisième étage et, quand ils préparaient un mauvais coup, une trappe dans le plafond leur permettait de s’isoler au grenier. C’était là que se décidaient les cambriolages des bijouteries et les assassinats des riches bourgeois.","- Il y a quelque chose qui se prépare ces jours-ci au Lapin Volant, me dit la Perlouze, et je veux savoir quoi.",- Pour avoir votre part du gâteau ?,Un éclair bleu jaillit des yeux noirs.,- C’est ta façon de voir les choses ?
11,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"Comme nous partîmes un dimanche, tante Amélie put faire une dernière chose : elle acheta un bonhomme en pain d’épice.","J’étais si bien habitué au Lapin Volant que je n’avais pas pensé à l’effet qu’il produirait sur une vieille demoiselle qui n’avait jamais quitté sa province. Mais elle n’eut pas vraiment le temps d’avoir peur, car elle se trouva entourée dès son arrivée par Bourguignon, Janvier et La Bouillie.","- Et le petit , où est le petit ? voulut-elle savoir aussitôt .",La Bouillie et Janvier échangèrent un regard et je compris à leur air contraint qu’ils avaient une mauvaise nouvelle à annoncer. Je balbutiai :,- Il… il n’est pas…
12,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"La police avait tendu un piège aux grinches, mais mon père venait aussi d’y tomber. Abandonnant mon poste, je courus à l’angle des rues d’Enghien et d’Hauteville et allai coller mon visage contre la grille d’entrée. Je cherchai à deviner ce qui se passait dans le jardin de l’autre côté. On entendait des jurons, des râles, mais on ne voyait rien. Si j’appelais, j’allais peut-être me faire tirer comme un lapin.","Mais mon père, mon père, où était-il ? Était-il mort, était-il seulement blessé ? Avait-il eu le temps de se faire reconnaître ? Les minutes passèrent, la nuit redevint calme. Un calme atroce…","Pendant toute cette journée , j’avais été parfois nerveux , tendu , inquiet . Mais je me sentais protégé . Soudain , j’étais seul . Sans mon chef , sans mon père , sans cet homme qui m’avait tiré du bagne , sauvé de la guillotine , sans ce monsieur Personne auquel je pensais si peu quand je vagabondais dans les rues . Appuyant mon front à la grille , je me mis à sangloter .",- Mais qu’est-ce que tu fais là ? gronda une voix.,Je hurlai tout à la fois de terreur et de joie.
13,MurailLAssassinEstAuCollegeMedium.txt,"- Que cela reste entre nous, dis-je en refermant le cahier.","Puis je m’assis sur le bureau, les jambes pendantes.",Le soleil par la fenêtre déversait sur moi sa lumière .,"- Ce jour-là, commençai-je, le Seigneur Râ apprit la naissance de son arrière-petit-fils et il le fit venir en son palais pour l’élever comme son héritier.",Osiris était son nom et le malheur sa destinée.
14,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,* Vous fâchez pas : la porte n’est pas cassée.,"- Il nous embête, celui-là, marmonna Toto.","- Que dites-vous , Montpensier ? lui demanda son précepteur .",- Je dis que je veux mourir.,Il y eut un silence dans la carriole.
15,MurailLAssassinEstAuCollegeMedium.txt,- Mon rasoir en demi-lune ! hurla le guerrier.,- Il nous casse tout ! firent les enfants aux abois.,"- Excusez-moi , monsieur Hazard , balbutia l’inspecteur , c’est que vraiment on n’y voit rien . Madame Zagulon m’a signalé que vous aviez des méthodes pédagogiques tout à fait novatrices …","La rosse, pensai-je.","- … et je constate à quel point c’est exact, ajouta l’inspecteur mi-figue, mi-raisin. Pourriez-vous rouvrir les rideaux, jeune homme ?"
16,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,- Cette Moïra qui vient de s’échapper de la clinique du docteur Lablache ?,- Elle n’est pas plus folle que…,- Sais-tu qui a le pouvoir de faire interner les gens ? …,Le préfet de police.,"Je fronçai les sourcils, soudain intrigué."
17,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,- On pourrait aller manger ailleurs ?,"- Va au diable, si tu veux.","Bourguignon n’avait aucune envie de me décramponner . Il me suivit en tressaillant à chaque pas . Il me semblait qu’à tout moment quelque chose pouvait se détacher d’une porte cochère et devenir une bête , un monstre , un assassin , me barrant le chemin . Avant de grimper les sept marches qui précédaient la rue Cloche-Perce , je chuchotai à Bourguignon  :","- À partir de maintenant, on est deux frères.","- Formidable, se réjouit-il, croyant à une déclaration d’amitié."
18,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,- Quand dois-je me rendre au château ?,- Maintenant.,"- Un instant , général . Je préviens mon chef , dis-je en trempant une plume dans l’encrier .","J’écrivis : Chef, je vous dézobéis par ordre supérieure du roi.",Je vai au chatau.
19,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"Puis dans un cri, il répéta :",- Va-t’en !,"Je ne me le fis pas dire trois fois et je me retrouvai vite fait dans la galerie Véro-Dodat . Ce monsieur Personne , moitié cogne et moitié grinche , m’effrayait plus que jamais .","Mais j’étais content d’appartenir à ce qu’il appelait la brigade de Sûreté, même si je n’avais rien demandé. J’avançais si distraitement que je n’aperçus Janvier qu’une fois sous mon nez. Il était lui-même absorbé dans la contemplation d’une vitrine de chapelier.",- François ?
20,MurailLAssassinEstAuCollegeMedium.txt,"- Heu ? Il y a moi, monsieur Hazard.","Je traversai le hall, le cœur battant à coups désordonnés. Pourtant, il ne pouvait rien s’être passé.","Alcatraz , Boussicot et les autres internes n’étaient partis que depuis un quart d’heure .",Je grimpai l’escalier à grandes foulées silencieuses.,- Oui ?
21,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"- Si, dans un coffre, plein à ras bord, qui doit être déménagé demain.","Un coffre, j’en connaissais un, mais je n’en dis rien.","- Depuis que La Bouillie ne dort plus à la cuisine , il n’y a personne au Lapin la nuit , remarqua Bourguignon . On pourrait fouiller ?",- Tu as la clé de l’entrée ?,"- Non, mais je pensais que…"
22,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"- Ce n’est pas la peine, tante Briquebœuf, je suis content comme ça.","Malgré moi, j’espérais encore quelque chose. Je croyais que tante Briquebœuf allait le guérir et j’en voulais à Janvier et La Bouillie que je voyais pleurer dans les coins.","Tante Amélie défit un bagage , suspendit un ou deux vêtements dans l’armoire . Elle avait l’intention de veiller sur Craquelin . Je savais que la nuit serait mauvaise , que Craquelin se plaindrait , qu’il aurait mal dans les os et tremblerait de fièvre .","- Je vais dormir avec Bourguignon dans la cave, ma tante, dis-je, soulagé qu’une grande personne prît ma place.","Mais la nuit n’était pas finie quand je vins prendre des nouvelles. Ma tante était emmitouflée dans des châles, échevelée, les yeux rouges. Elle n’avait pas dormi. Elle prit mes mains dans les siennes et les serra."
